Date,MKT_RF,SMB,HML,RMW,CMA,RF
2016-11-01,    4.86,    7.07,    8.21,   -0.18,    3.69,    0.01
2016-12-01,    1.82,    0.41,    3.53,    1.22,   -0.24,    0.03
2017-01-01,    1.94,   -1.45,   -2.75,   -0.50,   -0.99,    0.04
2017-02-01,    3.57,   -2.22,   -1.67,    0.47,   -1.83,    0.04
2017-03-01,    0.17,    0.74,   -3.35,    0.61,   -0.94,    0.03
2017-04-01,    1.09,    0.48,   -2.13,    1.90,   -1.60,    0.05
2017-05-01,    1.06,   -3.06,   -3.78,    0.95,   -1.79,    0.06
2017-06-01,    0.78,    2.58,    1.48,   -2.22,    0.00,    0.06
2017-07-01,    1.87,   -1.69,   -0.31,   -0.67,   -0.20,    0.07
2017-08-01,    0.16,   -1.83,   -2.10,    0.15,   -2.38,    0.09
2017-09-01,    2.51,    4.77,    3.12,   -1.50,    1.71,    0.09
2017-10-01,    2.25,   -1.94,    0.19,    0.91,   -3.26,    0.09
2017-11-01,    3.12,   -0.32,   -0.03,    3.19,   -0.06,    0.08
2017-12-01,    1.06,   -1.06,    0.06,    0.75,    1.70,    0.09
2018-01-01,    5.57,   -3.17,   -1.28,   -0.75,   -0.91,    0.12
2018-02-01,   -3.65,    0.32,   -1.04,    0.48,   -2.28,    0.11
2018-03-01,   -2.35,    3.60,   -0.20,   -0.42,   -0.02,    0.11
2018-04-01,    0.29,    0.93,    0.54,   -2.44,    1.28,    0.14
2018-05-01,    2.65,    4.75,   -3.22,   -2.05,   -1.53,    0.14
2018-06-01,    0.48,    0.80,   -2.33,    0.80,    0.20,    0.14
2018-07-01,    3.19,   -1.93,    0.45,    1.55,    0.35,    0.16
2018-08-01,    3.44,    0.65,   -4.00,   -0.31,   -2.70,    0.16
2018-09-01,    0.06,   -2.49,   -1.71,    0.63,    1.29,    0.15
2018-10-01,   -7.68,   -4.45,    3.40,    0.95,    3.58,    0.19
2018-11-01,    1.69,   -0.77,    0.28,   -0.55,    0.39,    0.18
